apollo_account_id,location,slug,zip,store,segment
6a6a1a8de04efe000c9b5576,Aspire Software,aspire-software,63017,West Oak,champion
6a6a1a8e444127000c101800,Distinctive Dermatology,distinctive-dermatology,62208,Shiloh,champion
6a6a1a8f9b4a55000cbf2d4c,Lemonaid Pharmacy,lemonaid-pharmacy,63110,West Oak,champion
6a6a1a8ff14bd9001c85c355,World Wide Technology,world-wide-technology,62025,Edwardsville,champion
6a6a1a90993d9c00200528a6,Ernst & Young,ernst-and-young,63105,Forsyth/Clayton,champion
6a6a1a91268236000c416160,Contemporary Art Museum St. Louis,contemporary-art-museum-st-louis,63108,Lindell/SLU,champion
6a6a1a923ddb010018260927,Cambridge Air Solutions,cambridge-air-solutions,63005,Chesterfield Valley,champion
6a6a1a9352ef2300148929a8,Enterprise Mobility,enterprise-mobility,63146,West Oak,champion
6a6a1a9432e89c0014243576,Fabick Cat,fabick-cat,63026,Sunset Hills,champion
6a6a1a951d0f5b000c64634b,PwC,pwc,63102,Lindell/SLU,champion
6a6a1a961ca234000cb1d142,Washington University in St. Louis,washington-university-in-st-louis,63105,Forsyth/Clayton,champion
6a6a1a971256530018cd63cb,Amdocs,amdocs,63141,Creve Coeur,champion
6a6a1a983ddb01000c3770ac,Cardinal Glennon Children's Hospital,cardinal-glennon-childrens-hospital,63104,Lindell/SLU,champion
6a6a1a99f0044c00189ad6ed,Gateway Region YMCA,gateway-region-ymca,63103,Lindell/SLU,champion
6a6a1a9a01d965000c3a2d02,St. Louis Children's Hospital,st-louis-childrens-hospital,63110,Lindell/SLU,champion
6a6a1a9bcdf6c7000c86fb01,Washington University,washington-university,63110,Lindell/SLU,champion
6a6a1a9c2cfca90010641bd8,"Washington University School of Medicine, Mid Campus Center (MCC)",washington-university-school-of-medicine-mid-campus-center-(mcc),63110,Lindell/SLU,champion
6a6a1a9dc98b51001c475235,Core & Main,core-and-main,63146,West Oak,champion
6a6a1a9dfb05170020c2aad3,Curium,curium,63043,West Oak,champion
6a6a1a9e856b9400107e1793,Enterprise Rent A Car,enterprise-rent-a-car,63134,Forsyth/Clayton,champion
6a6a1a9f77f4eb0014d26fc5,Forefront Dermatology,forefront-dermatology,63385,Wentzville,champion
6a6a1aa068cc5c00142c7767,Saint Louis MHB,saint-louis-mhb,63101,Lindell/SLU,champion
6a6a1aa19b4a550014b02a99,ArchBridge Family Office,archbridge-family-office,63105,Forsyth/Clayton,champion
6a6a1aa21256530018cd738e,Arcturis,arcturis,63101,Lindell/SLU,champion
6a6a1aa31256530020b320a8,Burns & McDonnell,burns-and-mcdonnell,63017,Creve Coeur,champion
6a6a1aa532e89c0010054ba1,Carmody MacDonald,carmody-macdonald,63105,Forsyth/Clayton,champion
6a6a1aa5ba36e200209f4382,Chestnut health,chestnut-health,62223,Shiloh,champion
6a6a1aa626f057001c24e2c1,Gulfstream,gulfstream,62206,Lindell/SLU,champion
6a6a1aa71256530018cd73c3,HSHS St. Elizabeth’s Neurology,hshs-st-elizabeth’s-neurology,62269,Shiloh,champion
6a6a1aa9f0044c00189ad74d,Hunter Engineering,hunter-engineering,63044,Lindenwood,champion
6a6a1aaa3cf72e00143d4322,Leonardo DRS,leonardo-drs,63044,West Oak,champion
6a6a1aabc85fa3000ce11e8e,STLCC & Silverback Brentwood Studios,stlcc-and-silverback-brentwood-studios,63117,Rock Hill/Glendale,champion
6a6a1aac3ddb01000c3771f7,Yoon Dermatology,yoon-dermatology,63385,Wentzville,champion
6a6a1aad444127000c101966,Apg,apg,62269,Shiloh,winback
6a6a1aad68cc5c00142c77ec,Dr usry suite 142,dr-usry-suite-142,63368,O'Fallon,winback
6a6a1aae58a289001c79757c,JEMA,jema,63103,Lindell/SLU,winback
6a6a1aaf25dfc5002050b885,Mercy Clinic Internal Medicine - Dr. Yang,mercy-clinic-internal-medicine---dr-yang,63128,Tesson,winback
6a6a1ab0a6c8060014c38194,Nestle Purina,nestle-purina,63102,Lindell/SLU,winback
6a6a1ab1c85fa3000ce11fb8,Renaissance Plastic Surgery,renaissance-plastic-surgery,63376,Lindenwood,winback
6a6a1ab247b3f5001c14417b,Saint Louis Chess Club,saint-louis-chess-club,63108,Lindell/SLU,winback
6a6a1ab3d040e5000c0fc45a,Saint Louis Rheumatology,saint-louis-rheumatology,63119,Rock Hill/Glendale,winback
6a6a1ab4d040e5000c0fc467,Southern Illinois Associates,southern-illinois-associates,62062,Edwardsville,winback
6a6a1ab52e468a0018160d1b,The Crossing at Grant's Trail,the-crossing-at-grants-trail,63125,Tesson,winback
6a6a1ab6cb57090018c122ce,Veterans United,veterans-united,63045,West Oak,winback
6a6a1ab7f14bd9001c85c445,Weissman,weissman,63139,South City,winback
6a6a1ab82e468a0018160d60,Accenture Federal Services,accenture-federal-services,63141,Creve Coeur,winback
6a6a1ab96e29fa0018e85180,Behavioral Health Urgent Care,behavioral-health-urgent-care,63110,Lindell/SLU,winback
6a6a1aba2e468a0018160d69,Centene,centene,63105,Forsyth/Clayton,winback
6a6a1abbd3891b001c259b94,Colibri Group,colibri-group,63110,Lindell/SLU,winback
6a6a1abc979d4f001c55d154,Compass Retirement Solutions,compass-retirement-solutions,63141,West Oak,winback
6a6a1abd61aedf0010ffbce7,Counsilman-Hunsaker,counsilman-hunsaker,63131,Manchester,winback
6a6a1abe521439000c357e57,Delmar Divine,delmar-divine,63112,Lindell/SLU,winback
6a6a1abff75097001cd30cb8,Experitec,experitec,63005,Chesterfield Valley,winback
6a6a1ac0f75097001cd30cbb,FORVIS MAZARS,forvis-mazars,63102,Lindell/SLU,winback
6a6a1ac1f1bab600189a5cfc,Introba,introba,63119,Rock Hill/Glendale,winback
6a6a1ac1e64d5d0010bda84f,Juniper Pharmacy,juniper-pharmacy,63141,West Oak,winback
6a6a1ac277f4eb0014d28aaa,Ladue Horton Watkins High School,ladue-horton-watkins-high-school,63124,Lindell/SLU,winback
6a6a1ac4979d4f001c55d2cc,Lexicon,lexicon,63017,Creve Coeur,winback
6a6a1ac79853c0000c5a4bc2,Mid America Transplant-Avis Causey,mid-america-transplant-avis-causey,63110,South City,winback
6a6a1ac867b2990014a2e0ed,Nestle Purina PetCare,nestle-purina-petcare,63102,Lindell/SLU,winback
6a6a1ac8b9a7b8001045b2c1,O'Fallon Dermatology Specialists,ofallon-dermatology-specialists,63368,O'Fallon,winback
6a6a1ac982cec7001c7bcad9,Patient Pick Up/Cardiac Cath Lab,patient-pick-up-cardiac-cath-lab,62269,Shiloh,winback
6a6a1aca4e3280001c72c417,Preferred Family Healthcare,preferred-family-healthcare,63116,Lindell/SLU,winback
6a6a1acbb4c3e20020e89b28,RGA,rga,63141,Creve Coeur,winback
6a6a1acc517f9d0010860d22,Steffenauer Home,steffenauer-home,63017,Manchester,winback
6a6a1ace125653001ccbc48e,The City of St. Charles School District,the-city-of-st-charles-school-district,63301,Lindenwood,winback
6a6a1acf028b0f001cfff0f7,Thompson Coburn LLP,thompson-coburn-llp,62269,Lindell/SLU,winback
6a6a1acfba36e200209f45d3,Tonya Bosaw’s Office,tonya-bosaw’s-office,62062,Edwardsville,winback
6a6a1ad0199a2f001c23093b,Undivided Creative,undivided-creative,63005,Chesterfield Valley,winback
6a6a1ad18b79c80014aff319,Urology of STL,urology-of-stl,62062,Edwardsville,winback
6a6a1ad2ac4838001c40863c,WashU Child Psychiatry,washu-child-psychiatry,63108,Forsyth/Clayton,winback
6a6a1ad3f036c70020affce5,WashU OVCSA,washu-ovcsa,63105,Forsyth/Clayton,winback
6a6a1ad439da720020a79aef,AC Central West Hotel,ac-central-west-hotel,63108,Lindell/SLU,winback
6a6a1ad54f4cf500105e6613,AT&T,atandt,63141,Creve Coeur,winback
6a6a1ad61dfd6f00203e9c95,Ameren,ameren,63103,Lindell/SLU,winback
6a6a1ad73ddb010018260ca6,Anderson Medical Group Gastroenterology,anderson-medical-group-gastroenterology,62062,Edwardsville,winback
6a6a1ad877f4eb0014d28b15,Ascension,ascension,63134,Lindenwood,winback
6a6a1ad8c7b09b001cfb1f92,BJC Home Care,bjc-home-care,62034,Edwardsville,winback
6a6a1ad988caba00149ee23c,BJC Medical Group,bjc-medical-group,63141,Manchester,winback
6a6a1ada1dcc030010bee5c3,ButcherJoseph & Co. LLC,butcherjoseph-and-co-llc,63102,Lindell/SLU,winback
6a6a1adbd711230020aae306,CCA Global,cca-global,63045,Lindenwood,winback
6a6a1adc444127000c101d49,CSG Solutions,csg-solutions,63141,West Oak,winback
6a6a1add67e9a2000c4a6b2c,"Carboline Global, Inc.",carboline-global-inc,63144,South City,winback
6a6a1ade1860eb00201b039e,Center for gastrointestinal health,center-for-gastrointestinal-health,62208,Shiloh,winback
6a6a1adf61aedf0010ffbeec,Central Bank: LeAnne Wright,central-bank:-leanne-wright,63131,Manchester,winback
6a6a1ae0d350620010b3a216,Chestnut Health,chestnut-health,62062,Edwardsville,winback
6a6a1ae3b9e62200144bdba6,Chicago Fire FC / St. Louis City,chicago-fire-fc---st-louis-city,63103,Lindell/SLU,winback
6a6a1ae4c7b09b002004477f,Cloud5,cloud5,63045,Lindenwood,winback
6a6a1ae5d871830010cf5649,DR. PANJETON - PAIN MANAGEMENT OFFICE,dr-panjeton---pain-management-office,63141,Creve Coeur,winback
6a6a1ae661aedf0018bc009a,Danforth University Center,danforth-university-center,63105,Forsyth/Clayton,winback
6a6a1ae7e04d58000cc7a714,Deaconess Foundation,deaconess-foundation,63113,Lindell/SLU,winback
6a6a1ae8199a2f001c2309fb,Diabetes and Endocrinology,diabetes-and-endocrinology,63017,Creve Coeur,winback
6a6a1ae988536f00141dd9bc,Dr Ahmed,dr-ahmed,62208,Shiloh,winback
6a6a1aead3891b001c259c89,Dr. Ettinger,dr-ettinger,63017,Creve Coeur,winback
6a6a1aeacb4dd1001c1bc741,Esse South,esse-south,63127,Sunset Hills,winback
6a6a1aeb2aafe6001034caed,Esse richmond heights,esse-richmond-heights,63117,Forsyth/Clayton,winback
6a6a1aec82cec7001c7bcf2a,Forefront dermatology,forefront-dermatology,62269,Shiloh,winback
